location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,5,14,9
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,5,14,10
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,5,14,11
Albemarle HS,38.07657,-78.50397,o3,0.011,ppm,2020,5,14,12
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,5,14,13
Albemarle HS,38.07657,-78.50397,o3,0.023,ppm,2020,5,14,14
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,14,15
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,14,16
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,14,17
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,15,6
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,15,7
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,15,8
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,5,15,10
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,15,11
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,15,12
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,15,13
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,15,15
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,15,16
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,15,17
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,15,18
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,5,15,19
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,5,15,20
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,5,15,21
Albemarle HS,38.07657,-78.50397,o3,0.054,ppm,2020,5,15,22
Albemarle HS,38.07657,-78.50397,o3,0.055,ppm,2020,5,15,23
Albemarle HS,38.07657,-78.50397,o3,0.054,ppm,2020,5,16,0
Albemarle HS,38.07657,-78.50397,o3,0.056,ppm,2020,5,16,1
Albemarle HS,38.07657,-78.50397,o3,0.055,ppm,2020,5,16,2
Albemarle HS,38.07657,-78.50397,o3,0.054,ppm,2020,5,16,3
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,5,16,4
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,16,5
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,16,6
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,16,7
Albemarle HS,38.07657,-78.50397,o3,0.021,ppm,2020,5,16,8
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,5,16,9
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,5,16,10
Albemarle HS,38.07657,-78.50397,o3,0.015,ppm,2020,5,16,11
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,16,12
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,16,13
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,16,14
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,5,16,15
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,16,16
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,5,16,17
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,16,18
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,16,19
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,16,20
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,5,16,21
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,16,22
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,16,23
